,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3
2024-03-04,70089.859375,71715.40863744884,69038.03338165075,71046.06482349931,98051816,39.893466479535896,2056.477312890899,27.472454472580495
2024-03-11,69133.65625,71237.30830739973,68942.41515387275,69707.37953838175,83121386,30.642636434702737,2080.318896954507,27.032914697651446
2024-03-18,75444.609375,76400.8148170152,68559.93019249049,69420.51509030418,148297271,48.39143831604656,2656.375469711528,46.85295665123504
2024-03-25,78791.3203125,78886.94084685983,74392.77573194781,76113.94535042476,118891263,60.55514799553075,2840.1544342315765,70.35386546742079
2024-04-01,81166.546875,82127.09772559171,78765.16974852071,79917.83076923077,131820490,63.860221952062155,2892.331788515519,93.70817755187845
2024-04-08,80398.109375,82607.37641875747,79245.44830869176,81838.9357078853,85278967,64.61061227289838,2939.291420670538,92.08897606886343
2024-04-15,74538.75,79917.8350515464,73290.03382731958,79629.66978092784,133913001,60.13680976710917,3356.1698333715262,73.25148951206101
2024-04-22,73674.2578125,75691.41480606259,72137.37629359518,74346.64347702086,99658089,57.791741761449615,3375.956701281114,54.41398680981079
2024-04-29,74538.75,75883.5212628866,73193.9787371134,74346.63981958762,65724010,64.17757242947089,3307.315283730323,40.51025113994522
2024-05-06,76075.625,78284.89188762626,75787.45975378787,76459.84532828283,75064503,70.28338835527009,3351.197944119917,44.15711803955822
2024-05-13,74346.640625,77132.23827115634,74154.53044250647,76267.74244993541,67324315,62.96968337542424,3313.8489325729124,45.75262230813892
2024-05-20,72905.8046875,75979.56720396904,72713.69453022069,75019.01641757246,99288237,61.73388138496074,3309.051306690457,41.877789150572774
2024-05-27,70600.484375,75115.07317176872,70600.484375,72329.47582908164,147359198,47.965887022773416,3429.6050556982827,24.043717660633927
2024-06-03,74250.578125,75499.2941866106,71272.87059346701,71464.98075679172,74171638,45.34809135407164,3576.5255312895147,20.445700792535558
2024-06-10,76459.8515625,77324.34737162375,72137.37251688128,73097.92341590766,107507071,43.41068682395847,3737.57046363481,26.400006770678246
2024-06-17,76844.0703125,79245.44750976562,74922.9685546875,76075.629609375,96695948,43.8492919416663,3796.0613127791416,48.7367780777707
2024-06-24,78284.8984375,78669.11879792945,76363.79663535276,76555.90681556749,73521576,55.16577749035758,3646.9873977588963,68.23308755203148
2024-07-01,84037.140625,84037.140625,78151.64627583238,78634.06384543628,126877856,67.49025011449382,3870.8380928997694,85.29974347446243
2024-07-08,81432.078125,85677.3523400474,81142.62761033769,84809.00079606043,114207851,69.4535863700363,3937.2267565807633,86.9104608524886
2024-07-15,81432.078125,84905.48430094786,80853.17709567536,81721.52863966233,102837170,59.664055840763034,3948.7348014499375,81.22831070357059
2024-07-22,78055.1640625,81914.5046836372,77283.29593827257,81432.08710599506,86525177,58.3348421320465,4016.9821958414077,64.3764722996044
2024-07-29,76800.8671875,83072.29478446922,76704.38368600816,78730.53721733668,93411708,58.311251254118964,4252.075086103373,54.1373630711791
2024-08-05,72073.1796875,74195.81684027778,67731.421875,74002.84982638889,179417395,56.767263587330746,4733.812108743035,38.25439133593624
2024-08-12,77379.7734375,77379.7734375,72169.66400405238,72555.5980361596,55863166,56.10464595702205,4791.090272868732,39.69404679642438
2024-08-19,74967.6953125,77283.29980091698,74774.72827179858,77283.29980091698,50205406,53.64029645218787,4572.485762152001,39.426548271100266
2024-08-26,71687.2421875,75450.09877607672,70915.37416933042,75353.61527380552,69823596,45.315134197043044,4568.709646611431,38.7096958705859
2024-09-02,66477.1328125,72073.17592298621,65608.78129535558,71880.20891917634,101031606,37.02725934946184,4758.27814471335,22.230852982695804
2024-09-09,62135.37890625,65801.75219574923,61942.4118910132,64547.466596710015,150653622,23.475412899679043,4735.922422390695,9.0609747890431
2024-09-16,60784.61328125,62424.8330047123,60012.74517609127,61749.44841269841,82148769,11.462742299055463,4503.538963013728,2.7469022726666448
2024-09-23,61942.41796875,63100.22017377337,60012.747627044395,60109.23114412968,150151359,24.41753503152249,4361.932321385253,4.093999920166641
2024-09-30,58797.07421875,62386.99459184199,58117.90009411097,62289.96971689356,85415277,25.03194804613105,4352.64853901983,4.73021764477274
2024-10-07,57535.7421875,60058.38855659781,57147.64274610034,58408.96593064925,137364502,24.803973340770483,4208.458266167595,4.336036667596891
2024-10-14,57438.72265625,59573.269781989016,57341.69778689822,57729.79726430532,104697889,27.44802028523057,4010.769639059915,2.02619858991716
2024-10-21,54236.90625,58214.92620751342,54139.881372987475,57244.67743738819,130727449,19.785569846506846,4017.197158606518,1.2587225036103769
2024-10-28,56565.5,59379.221269296744,54042.85334476844,54042.85334476844,130875210,23.951638210882905,4149.114235198696,4.547337690639254
2024-11-04,55304.171875,57632.76858552631,54624.99783442982,56856.56968201754,86084137,24.04381080581028,4034.979886788476,6.399617474356617
2024-11-11,51908.3046875,55110.125350467286,48415.40941880841,55013.10048189252,215587402,22.64203974871674,4320.358143728788,12.95649951273188
2024-11-18,54333.921875,55789.29478236607,53072.598688616075,55304.17047991072,134877926,33.60597557967655,4276.421338842516,22.46301810888802
2024-11-25,52587.4765625,57147.645194303506,52199.377104474166,55692.27222670664,125769782,32.792965748965685,4343.606013941198,29.601426410926134
2024-12-02,52490.45703125,52781.53165434381,50452.93466959334,52684.5067799792,120874387,21.002219295904993,4142.105111022125,32.627026839978214
2024-12-09,54430.953125,54819.05261252228,51617.23184046346,51908.306456105165,110963118,29.122443358084283,4048.0766771257954,36.41471706356372
2024-12-16,51423.1796875,54916.07491155661,50355.906146816036,54625.00030955189,96348143,30.391586861454982,4099.285885887273,35.929966805082735
2024-12-23,52102.35546875,52975.579303421786,51617.231116154566,51811.28085719274,46571598,35.88652990993144,3844.597258890725,37.417180924387
2024-12-30,53141.42578125,53825.23089240579,51090.010447782624,52066.8748922909,48573286,42.99041799444668,3733.6595774639686,34.56347761849165
2025-01-06,54020.6015625,56365.07613302441,53043.737158114825,53141.423598553345,103207887,41.22696091356726,3692.427517208531,45.84839234219036
2025-01-13,52457.6171875,53727.54088105214,51969.18499767225,53336.795129189944,90392193,41.25744458976733,3528.326421970453,50.069164491015364
2025-01-20,52457.6171875,53141.42225325885,51871.4985597067,52359.93074953445,71155922,47.331912020420184,3302.4861491286224,46.01566901585346
2025-01-27,51187.69140625,52457.61504800811,50503.88636838025,52457.61504800811,42186279,36.54305690303622,3167.6106161277353,29.827587527791312
2025-02-03,52457.6171875,52946.04937732774,49624.71048649907,49917.76980039571,106477524,50.10412437934896,3182.983443597829,28.407033286190792
2025-02-10,54704.40625,55974.32996651786,51676.12661830357,51773.81305803572,125030539,64.74462670868382,3294.505434059475,43.2127695259609
2025-02-17,56853.5078125,57732.68576836341,54411.346823990556,54802.092582152065,103229672,64.63748839209713,3297.188785090813,68.84930724991052
2025-02-24,53239.10546875,56462.757726490825,53239.10546875,55974.32556622706,89892797,64.85663992711861,3328.910140956732,69.69907117704348
2025-03-03,52457.6171875,54118.286632914336,52164.55787360335,52652.9900634311,61665843,58.265713854091686,3191.3920027921577,56.224883664207574
2025-03-10,53434.484375,54606.72169218464,51285.38262682815,52262.24705781535,83613087,59.937817265724306,3204.386709048591,42.16866815358738
2025-03-17,60272.53515625,60272.53515625,54118.28926509319,54215.975707809965,168263990,63.2081052533927,3567.753116268732,60.642578689815856
2025-03-24,58807.234375,60565.59022009967,58123.42932412791,59784.0987333887,84451498,72.65099462149325,3455.193894239035,76.97218362856077
2025-03-31,55127.68359375,58665.288958054814,54734.61633104947,58468.755326704544,88912712,70.91185733826829,3516.9363092101853,78.07530824250858
